passcode,route_surveyed,date,direction_id,timeperiodcode,purpose,origin_type_clean,origin_type_99_x,origin_address_coded,origin_lat,origin_lng,o_ST_785_AAZ,o_district_27,o_district_12,access_mode,access_99_x,access_walk_dist,accessparkloc_clean,accessparkloc_99_x,accesscarpoolloc_clean,accesscarpoolloc_99_x,access_bike_dist,access_park_cost_clean,access_park_freq_clean,dest_type_clean,dest_type_99_x,destination_address_coded,destination_lat,destination_lng,d_ST_785_AAZ,d_district_27,d_district_12,egress_mode,egress_99_x,egress_walk_dist,egressparkloc_clean,egressparkloc_99_x,egresscarpoolloc_clean,egresscarpoolloc_99_x,egress_bike_dist,egress_park_cost_clean,egress_park_freq_clean,board_stop_id,board_stop_name,board_stop_lat,board_stop_lon,b_ST_785_AAZ,b_district_27,b_district_12,alight_stop_id,alight_stop_name,alight_stop_lat,alight_stop_lon,a_ST_785_AAZ,a_district_27,a_district_12,fare_type_clean,fare_type_99_x,orca_emp_clean,orca_daynum_clean,children,numchildren_1_clean,numchildren_2_clean,fare_cat_clean,oneway_route_clean,oneway_all_clean,firsttimetransit,license,hhveh_clean,ethnicity_1,ethnicity_2,ethnicity_3,ethnicity_4,ethnicity_5,ethnicity_6,ethnicity_7,ethnicity_8,ethnicity_99,ethnicity_99_x,ethnicity_98,language_1,language_2,language_3,language_4,language_5,language_6,language_7,language_8,language_9,language_99,language_99_x,hhsize_clean,income_clean,route_1,route_2,route_3,route_4,total_transfers,routes_in_corridor,corridor_transfers,bad_record,board_segment,alight_segment,unlinked_weight,link_weight_factor,linked_weight,filter_$,route_surveyed2,route_new1,route_new2,route_new3,route_new4,access_new,egress_new,access_new2,egress_new2
LE13678,LINK,"Monday, October 19, 2015",0,3,#NULL!,#NULL!,,,#NULL!,#NULL!,0,0,0,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,,,#NULL!,#NULL!,0,0,0,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,56039,Columbia City Station - Airport,47.558952,-122.292343,183,13,6,99904,Airport Station - Arrivals,47.444908,-122.297058,355,14,8,3,,2,#NULL!,1,#NULL!,#NULL!,#NULL!,5,#NULL!,0,2,0,0,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,,#NULL!,#NULL!,,,,,#NULL!,1,0,1,#NULL!,#NULL!,0,1,0,0,75,81,81,81,81,99,99,99,99
LE17125,LINK,"Monday, October 26, 2015",0,2,#NULL!,#NULL!,,,#NULL!,#NULL!,0,0,0,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,,,#NULL!,#NULL!,0,0,0,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,56039,Columbia City Station - Airport,47.558952,-122.292343,183,13,6,99900,Tukwila Int'l Blvd Station - Airport,47.464272,-122.288399,352,15,7,1,,2,#NULL!,1,#NULL!,#NULL!,#NULL!,20,15,0,2,0,1,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,,1,6,,,,,#NULL!,1,0,1,#NULL!,#NULL!,0,1,0,0,75,81,81,81,81,99,99,99,99
LM30174,LINK,"Monday, November 2, 2015",0,2,#NULL!,#NULL!,,,#NULL!,#NULL!,0,0,0,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,,,#NULL!,#NULL!,0,0,0,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,56039,Columbia City Station - Airport,47.558952,-122.292343,183,13,6,99900,Tukwila Int'l Blvd Station - Airport,47.464272,-122.288399,352,15,7,7,,#NULL!,#NULL!,1,#NULL!,#NULL!,1,20,#NULL!,0,1,2,0,0,0,0,0,0,1,0,0,,0,1,0,0,0,0,0,0,0,0,1,SAMOAN,4,8,,,,,#NULL!,1,0,1,#NULL!,#NULL!,0,1,0,0,75,81,81,81,81,99,99,99,99
LM30461,LINK,"Monday, October 19, 2015",0,2,2,2,,"15th Ave NE & NE 55th St, Seattle, WA 98105, USA",47.66846,-122.31199,60,8,3,1,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,99,,"2400 S 170th St, SeaTac, WA 98158, USA",47.44829,-122.30873,355,14,8,1,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,56039,Columbia City Station - Airport,47.558952,-122.292343,183,13,6,99904,Airport Station - Arrivals,47.444908,-122.297058,355,14,8,1,,#NULL!,#NULL!,1,#NULL!,#NULL!,2,#NULL!,20,0,2,1,0,0,0,1,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,,5,#NULL!,100228,100479,100289,,2,3,2,0,4,6,23.77052482,0.333333333,7.923508273,1,75,48,75,80,81,48,80,8,8
LE11470,LINK,"Wednesday, October 14, 2015",0,2,2,2,,"S Orcas St & 42nd Ave S, Seattle, WA 98118, USA",47.55119,-122.28078,465,13,6,1,,12,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,3,,"Seattle-Tacoma International Airport, 17801 International Blvd, Seattle, WA 98158, USA",47.45025,-122.30882,355,14,8,1,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,56039,Columbia City Station - Airport,47.558952,-122.292343,183,13,6,99904,Airport Station - Arrivals,47.444908,-122.297058,355,14,8,3,,2,#NULL!,1,#NULL!,#NULL!,1,2,#NULL!,0,1,4,1,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,,4,11,100479,,,,0,1,0,0,4,6,23.77052482,1,23.77052482,1,75,75,81,81,81,1,1,1,1
LE11471,LINK,"Wednesday, October 14, 2015",0,2,3,1,,"5619 Martin Luther King Jr Way S, Seattle, WA 98118, USA",47.55135,-122.28862,183,13,6,3,,#NULL!,2,,#NULL!,,#NULL!,0,#NULL!,3,,"Seattle-Tacoma International Airport, 17801 International Blvd, Seattle, WA 98158, USA",47.45025,-122.30882,355,14,8,1,,#NULL!,#NULL!,,#NULL!,,#NULL!,0,#NULL!,56039,Columbia City Station - Airport,47.558952,-122.292343,183,13,6,99904,Airport Station - Arrivals,47.444908,-122.297058,355,14,8,2,,#NULL!,1,1,#NULL!,#NULL!,1,1,0,0,1,3,1,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,,2,9,100479,,,,0,1,0,0,4,6,23.77052482,1,23.77052482,1,75,75,81,81,81,3,1,3,1
LE14193,LINK,"Tuesday, October 20, 2015",0,1,2,2,,"4215 Renton Ave S, Seattle, WA 98108, USA",47.5654,-122.29272,180,13,6,1,,6,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,99,SWIM,"4414 S 144th St, Tukwila, WA 98168, USA",47.47469,-122.27761,341,15,7,1,,12,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,56039,Columbia City Station - Airport,47.558952,-122.292343,183,13,6,99900,Tukwila Int'l Blvd Station - Airport,47.464272,-122.288399,352,15,7,3,,2,#NULL!,1,#NULL!,#NULL!,4,20,#NULL!,0,1,3,1,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,,4,11,100479,,,,0,1,0,0,4,5,11.09225813,1,11.09225813,1,75,75,81,81,81,1,1,1,1
LE15090,LINK,"Wednesday, October 21, 2015",0,2,2,2,,"Columbia City Station, 4818 Martin Luther King Jr Way S, Seattle, WA 98108, USA",47.55927,-122.29235,182,13,6,1,,1,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,4,,"Pacific Hwy S & S 252nd St, Kent, WA 98032, USA",47.37586,-122.3001,471,14,8,2,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,56039,Columbia City Station - Airport,47.558952,-122.292343,183,13,6,99900,Tukwila Int'l Blvd Station - Airport,47.464272,-122.288399,352,15,7,1,,2,#NULL!,1,#NULL!,#NULL!,1,40,#NULL!,0,1,1,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,JAPANESE,#NULL!,#NULL!,100479,100512,,,1,1,0,0,4,5,25.7644425,1,25.7644425,1,75,75,79,81,81,1,79,1,79
LE17247,LINK,"Monday, October 26, 2015",0,3,1,1,,"4436 Rainier Ave S, Seattle, WA 98118, USA",47.56305,-122.28743,180,13,6,1,,1,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,2,,"4219 S Othello St, Seattle, WA 98118, USA",47.53656,-122.28044,197,13,6,1,,5,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,56039,Columbia City Station - Airport,47.558952,-122.292343,183,13,6,56159,Othello Station - Airport,47.537529,-122.281471,194,13,6,1,,#NULL!,#NULL!,1,#NULL!,#NULL!,1,30,#NULL!,0,#NULL!,#NULL!,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,#NULL!,#NULL!,100479,,,,0,1,0,0,4,4,31.4243715,1,31.4243715,1,75,75,81,81,81,1,1,1,1
LE17656,LINK,"Monday, October 26, 2015",0,2,2,2,,"Columbia City, Seattle, WA, USA",47.55987,-122.2865,182,13,6,2,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,3,,"Seattle-Tacoma International Airport, 17801 International Blvd, Seattle, WA 98158, USA",47.45025,-122.30882,355,14,8,1,,7,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,56039,Columbia City Station - Airport,47.558952,-122.292343,183,13,6,99904,Airport Station - Arrivals,47.444908,-122.297058,355,14,8,1,,#NULL!,#NULL!,1,#NULL!,#NULL!,2,30,#NULL!,0,2,1,0,0,0,1,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,,3,2,100479,,,,0,1,0,0,4,6,23.77052482,1,23.77052482,1,75,75,81,81,81,2,1,2,1
